replica,cpu,heap,previous_tps,instant_tps,reward
1,8,1,49.72,49.72,1.1663275
1,8,1,49.72,49.72,1.1665775
1,8,1,49.72,50.62,1.1829575
1,8,1,50.62,49.66,1.1654975
1,8,1,49.66,49.72,1.1665775
1,8,1,49.72,49.6,1.16405
1,8,1,49.6,49.53,1.16329
1,8,1,49.53,50.6,1.18255
1,8,1,50.6,49.4,1.16095
1,8,1,49.4,49.94,1.1705525
1,8,1,49.94,49.4,1.1610125
1,8,1,49.4,50.06,1.1730725
1,8,1,50.06,49.47,1.1622724999999998
1,8,1,49.47,50.38,1.1782225000000002
1,8,1,50.38,49.66,1.1656225
1,8,1,49.66,49.94,1.1703025
1,8,1,49.94,49.72,1.1665775
1,8,1,49.72,49.66,1.1654975
1,8,1,49.66,50.0,1.1714375
1,8,1,50.0,48.88,1.1510975
1,8,1,48.88,49.6,1.164425
1,8,1,49.6,49.47,1.1620849999999998
1,8,1,49.47,50.0,1.171625
1,8,1,50.0,49.72,1.166765
1,8,1,49.72,50.4,1.180005
1,8,1,50.4,49.66,1.166685
1,8,1,49.66,49.66,1.166685
1,8,1,49.66,49.88,1.1697225
1,8,1,49.88,49.6,1.1648625
1,8,1,49.6,49.6,1.1648625
1,8,1,49.6,49.47,1.1625225
1,8,1,49.47,49.72,1.167265
1,8,1,49.72,49.6,1.164925
1,8,1,49.6,50.0,1.172125
1,8,1,50.0,49.66,1.166185
1,8,1,49.66,49.72,1.16739
1,8,1,49.72,49.6,1.16505
1,8,1,49.6,49.66,1.16631
1,8,1,49.66,49.6,1.1648625
1,8,1,49.6,50.0,1.1720625
1,8,1,50.0,49.66,1.1661225
1,8,1,49.66,49.72,1.1672025
1,8,1,49.72,50.06,1.173135
1,8,1,50.06,48.6,1.146675
1,8,1,48.6,50.0,1.171875
1,8,1,50.0,49.8,1.168275
1,8,1,49.8,49.72,1.1679525
1,8,1,49.72,49.53,1.1643525
1,8,1,49.53,49.6,1.1661125
1,8,1,49.6,49.66,1.1673725
1,8,1,49.66,49.6,1.1653
1,8,1,49.6,50.34,1.1787999999999998
1,8,1,50.34,49.47,1.1629599999999998
1,8,1,49.47,50.0,1.1725
1,8,1,50.0,49.8,1.1695875
1,8,1,49.8,49.53,1.1647275
1,8,1,49.53,49.72,1.1683275
1,8,1,49.72,49.72,1.1683275
1,8,1,49.72,49.94,1.1718025
1,8,1,49.94,50.12,1.1754025
1,8,1,50.12,49.72,1.1682025
1,8,1,49.72,49.0,1.1550625
1,8,1,49.0,49.88,1.1702225
1,8,1,49.88,49.4,1.1617625
1,8,1,49.4,49.8,1.1689625
1,8,1,49.8,49.66,1.166685
1,8,1,49.66,49.72,1.167765
1,8,1,49.72,49.53,1.164165
1,8,1,49.53,50.0,1.172625
1,8,1,50.0,49.66,1.1666225
1,8,1,49.66,49.97,1.1718425
1,8,1,49.97,49.66,1.1666225
1,8,1,49.66,49.53,1.1641024999999998
1,8,1,49.53,49.88,1.1702225
1,8,1,49.88,49.53,1.1641024999999998
1,8,1,49.53,49.88,1.1702225
1,8,1,49.88,49.53,1.1641024999999998
1,8,1,49.53,50.06,1.1739475
1,8,1,50.06,49.88,1.1703475
1,8,1,49.88,50.06,1.1739475
1,8,1,50.06,49.8,1.1690874999999998
1,8,1,49.8,49.88,1.1705975
1,8,1,49.88,49.4,1.1621374999999998
1,8,1,49.4,49.2,1.1585375
1,8,1,49.2,49.72,1.1680775
1,8,1,49.72,49.6,1.1653
