replica,cpu,heap,previous_tps,instant_tps,inc_tps,out_tps,cpu_usage,memory_usage,reward,sum_reward,response_time,num_request,num_failures,expected_tps,utilization,action_cost,performance
4,9,7,35.8,27.81,115,121,0.454,0.672,0.6786666666666666,18.630118053968253,24.11,27.81,0,27,0.7322222222222223,0.28,1.03
5,4,5,27.81,1.97,17,20,0.28,0.625,0.2217222222222222,19.03578445396825,1474.43,1.97,0,18,0.8500000000000001,0.44000000000000006,0.10944444444444444
1,7,8,1.97,15.81,52,64,0.676,0.666,0.5728988095238096,19.922427111111112,116.67,15.81,0,18,0.8991071428571429,0.68,0.8783333333333334
1,5,4,15.81,7.65,8,10,0.482,0.578,0.32084999999999997,20.44272711111111,599.89,7.65,0,36,0.982,0.4000000000000001,0.21250000000000002
3,4,9,7.65,8.35,65,73,0.339,0.745,0.28592129629629626,20.963338066666665,430.78,8.35,0,27,0.8376388888888888,0.6000000000000001,0.30925925925925923
2,7,5,8.35,23.39,64,73,0.605,0.601,0.6087910052910054,21.85597280952381,127.91,23.39,0,27,0.9321428571428572,0.52,0.8662962962962963
5,9,5,23.39,27.34,107,111,0.435,0.629,0.6647962962962963,22.75263947619048,26.21,27.34,0,27,0.7416666666666667,0.32,1.0125925925925925
6,7,5,27.34,34.34,33,37,0.434,0.603,0.6879444444444445,23.64897287619048,73.04,34.34,0,36,0.81,0.16000000000000003,0.953888888888889
6,7,9,34.34,28.53,41,46,0.457,0.689,0.677095238095238,24.532655415873016,38.55,28.53,0,27,0.7092063492063492,0.32000000000000006,1.0566666666666666
1,5,4,28.53,4.13,7,8,0.488,0.481,0.23512222222222218,25.065521815873016,525.75,4.13,0,18,0.988,0.8800000000000001,0.22944444444444445
4,9,4,4.13,36.7,123,131,0.496,0.66,0.6623888888888889,25.97574403809524,34.23,36.7,0,36,0.7755555555555556,0.4,1.0194444444444446
4,7,5,36.7,34.97,92,102,0.512,0.663,0.7132698412698413,26.904696352380952,57.48,34.96,0,36,0.8657142857142858,0.16000000000000003,0.9711111111111111
4,6,8,34.97,24.97,30,35,0.453,0.657,0.6428449074074073,27.77483535238096,68.62,24.97,0,27,0.788125,0.28,0.9248148148148148
4,8,5,24.97,27.3,100,107,0.473,0.649,0.6800578703703704,28.693085352380955,30.17,27.29,0,27,0.795625,0.32,1.0107407407407407
5,7,7,27.3,27.73,62,67,0.424,0.663,0.6904470899470898,29.603656780952385,32.37,27.73,0,27,0.7764285714285715,0.28,1.027037037037037
1,4,7,27.73,2.0,12,15,0.386,0.587,0.23809126984126977,30.03103766666667,1126.06,2.0,0,18,0.9017857142857142,0.44000000000000006,0.1111111111111111
1,4,4,2.0,2.29,8,10,0.4,0.544,0.2944074074074074,30.48192666666667,1317.84,2.29,0,27,1.0,0.24,0.08481481481481482
5,9,9,2.29,36.88,133,138,0.429,0.733,0.5220277777777778,31.34014888888889,28.56,36.89,0,36,0.6455555555555555,0.92,1.0247222222222223
2,7,5,36.88,27.19,148,163,0.598,0.652,0.6534761904761904,32.31100603174603,54.67,27.18,0,27,0.9271428571428572,0.6400000000000001,1.0066666666666666
3,9,7,27.19,27.56,95,98,0.556,0.645,0.6772513227513227,33.2188473015873,32.26,27.56,0,27,0.7696031746031746,0.32000000000000006,1.0207407407407407
5,4,7,27.56,1.89,28,32,0.338,0.661,0.23139285714285712,33.61870444444445,1509.89,1.89,0,27,0.8946428571428572,0.36000000000000004,0.06999999999999999
