replica,cpu,heap,previous_tps,instant_tps,inc_tps,out_tps,cpu_usage,memory_usage,reward,sum_reward,response_time,num_request,num_failures,expected_tps,utilization
5,7,4,29.1,27.81,66,72,0.413,0.624,0.7996826723646921,0.918,41.81,27.82,0,27,0.7949999999999999
1,4,6,27.81,0.87,14,18,0.391,0.606,0.2094305015314768,1.3328332,4860.73,0.87,0,27,0.98875
3,9,7,0.87,36.7,225,229,0.543,0.703,0.800083319627903,2.253499866666667,24.81,36.68,0,36,0.8016666666666667
6,9,7,36.7,26.88,105,106,0.383,0.695,0.1987857758967939,2.9850158063492067,70.38,26.87,0,36,0.7092063492063492
5,6,6,26.88,36.2,45,50,0.437,0.637,0.20320805815609805,3.8132156730158737,135.56,36.19,0,45,0.8641666666666667
5,7,7,36.2,35.88,68,74,0.447,0.691,0.7976028773288653,4.736358730158731,49.44,35.88,0,36,0.812857142857143
2,4,7,35.88,11.32,99,113,0.385,0.707,0.20905630264632827,5.317525130158731,403.84,11.32,0,36,0.98125
4,5,5,11.32,16.88,39,45,0.41,0.634,0.20549861396094202,6.056636130158731,178.68,16.88,0,27,0.9099999999999999
4,6,5,16.88,26.3,31,35,0.441,0.629,0.20339284754524278,6.987858530158731,80.81,26.29,0,27,0.8674999999999999
5,6,4,26.3,29.77,48,55,0.424,0.605,0.20266650876824205,7.825192063492064,104.75,29.76,0,36,0.8533333333333333
5,6,4,29.77,36.62,155,161,0.424,0.698,0.8026663118036316,8.766525396825397,30.14,36.63,0,36,0.8533333333333333
6,8,4,36.62,35.97,33,37,0.57,0.566,0.8027872954277682,9.708525596825398,39.83,35.97,0,36,0.85625
6,4,8,35.97,3.48,19,23,0.288,0.693,0.1996562503384904,10.083775796825398,1351.57,3.48,0,36,0.7931249999999999
6,8,9,3.48,36.88,107,111,0.455,0.716,0.7941093311192592,10.95663690793651,24.55,36.87,0,36,0.6821527777777777
2,7,5,36.88,26.67,137,154,0.574,0.616,0.20803993774544807,11.91330370793651,70.92,26.67,0,27,0.9099999999999999
