replica,cpu,heap,previous_tps,instant_tps,cpu_usage,memory_usage,reward,sum_reward,response_time,num_request,num_failures,expected_tps,timestamp,utilization,performance
3,9,7,48,56,0.1596666666666666,0.7486666666666667,0.6709629629629629,7.49612328042328,15.63,56.0,0,56,1708315961.554947,0.17740740740740732,1.0
1,4,4,56,61,0.398,0.779,0.9755,8.49562328042328,92.59,61.6,0,64,1708316576.783795,0.995,0.9625
1,7,9,61,72,0.429,0.874,0.8451428571428572,9.454020105820105,21.49,72.33,0,72,1708317191.9954777,0.6128571428571429,1.0
2,5,8,72,97,0.3389999999999999,0.8185,0.8712,10.421820105820103,27.45,97.13,0,96,1708317807.2269304,0.6779999999999998,1.0
3,6,9,97,96,0.2589999999999999,0.838,0.7726666666666666,11.358097883597882,18.5,96.33,0,96,1708318422.4798193,0.43166666666666653,1.0
3,9,4,96,120,0.2703333333333333,0.7240000000000001,0.7201481481481481,12.28813492063492,18.06,120.4,0,120,1708319037.748282,0.30037037037037034,1.0
3,4,9,120,72,0.2736666666666666,0.9326666666666666,0.8736666666666666,13.256551587301583,44.78,72.13,0,72,1708319652.991969,0.6841666666666665,1.0
1,7,8,72,88,0.578,0.92,0.9302857142857143,14.239123015873014,29.13,88.87,0,88,1708320352.8840733,0.8257142857142857,1.0
2,4,6,88,69,0.328,0.761,0.9080002,15.221123015873014,81.93,69.6,0,72,1708320968.1310844,0.82,0.966667
3,7,9,69,80,0.2086666666666666,0.7879999999999999,0.7192380952380952,16.138488095238092,16.38,80.0,0,80,1708321583.363251,0.298095238095238,1.0
3,5,4,80,64,0.2296666666666666,0.7443333333333334,0.7837333333333333,17.084421428571424,24.63,64.07,0,64,1708322198.587028,0.4593333333333332,1.0
2,8,9,64,64,0.2135,0.7749999999999999,0.70675,17.997220039682535,15.01,64.13,0,64,1708322813.818544,0.266875,1.0
3,8,8,64,72,0.1826666666666666,0.8226666666666667,0.6913333333333332,18.920053373015868,23.19,72.0,0,72,1708323429.044679,0.22833333333333322,1.0
2,8,5,72,72,0.247,0.6905,0.7235,19.85092837301587,15.57,72.0,0,72,1708324044.2891772,0.30874999999999997,1.0
1,8,4,72,72,0.417,0.7,0.8085,20.803053373015867,20.62,72.0,0,72,1708324659.5123997,0.52125,1.0
2,6,9,72,80,0.2425,0.7965,0.7616666666666667,21.731970039682533,20.37,80.0,0,80,1708325274.7257304,0.4041666666666667,1.0
1,9,7,80,88,0.522,0.75,0.832,22.68997003968253,24.36,88.0,0,88,1708325889.968387,0.58,1.0
3,6,6,88,56,0.1776666666666666,0.7053333333333333,0.7184444444444444,23.619581150793643,19.24,56.0,0,56,1708326505.1819134,0.29611111111111105,1.0
3,4,5,56,56,0.1846666666666666,0.7866666666666667,0.7846666666666666,24.56574781746031,30.96,56.0,0,56,1708327120.4205656,0.46166666666666645,1.0
2,4,8,56,74,0.3105,0.8565,0.7097675999999999,25.54337281746031,185.87,74.53,0,112,1708327795.297922,0.77625,0.665446
2,8,6,74,96,0.3235,0.7384999999999999,0.7617499999999999,26.48381031746031,15.3,96.2,0,96,1708328410.5436475,0.404375,1.0
1,5,4,96,76,0.499,0.784,0.8384114,27.48361031746031,172.17,76.13,0,104,1708329025.8127582,0.998,0.732019
3,8,9,76,112,0.26,0.811,0.73,28.40622142857142,15.69,112.33,0,112,1708329641.0655117,0.325,1.0
2,7,9,112,145,0.423,0.78,0.8417142857142857,29.353316666666657,18.77,145.13,0,144,1708330256.3337252,0.6042857142857143,1.0
3,8,9,145,88,0.2146666666666666,0.7863333333333333,0.7073333333333333,30.26752037037036,16.2,88.33,0,88,1708330871.604355,0.2683333333333332,1.0
2,7,7,0,24,0.119,0.8185,0.6679999999999999,0.917,16.5,24.0,0,24,1708334521.8428078,0.17,1.0
3,9,6,24,24,0.1003333333333333,0.7193333333333333,0.6445925925925926,1.828148148148148,17.69,24.0,0,24,1708335137.0450745,0.11148148148148145,1.0
1,9,5,24,32,0.263,0.74,0.7168888888888889,2.7573703703703702,18.8,32.13,0,32,1708335752.276896,0.2922222222222222,1.0
3,8,5,32,32,0.1193333333333333,0.7386666666666667,0.6596666666666666,3.672287037037037,19.72,32.0,0,32,1708336367.5029423,0.14916666666666661,1.0
3,5,8,32,40,0.1623333333333333,0.8166666666666668,0.7298666666666667,4.604753703703704,28.13,40.0,0,40,1708336982.73624,0.3246666666666666,1.0
2,4,9,40,32,0.219,0.909,0.819,5.559503703703704,57.42,32.13,0,32,1708337620.6617715,0.5475,1.0
2,4,6,32,32,0.2525,0.9155,0.8525,6.522628703703703,46.27,32.07,0,32,1708338235.888297,0.63125,1.0
3,8,7,32,24,0.1213333333333333,0.749,0.6606666666666666,7.43779537037037,19.17,24.0,0,24,1708338877.4560466,0.15166666666666662,1.0
1,7,5,24,40,0.311,0.747,0.7777142857142857,8.38222394179894,21.1,40.07,0,40,1708339492.963727,0.44428571428571434,1.0
1,7,6,40,40,0.269,0.711,0.7537142857142858,9.320652513227513,20.0,40.2,0,40,1708340108.2012928,0.38428571428571434,1.0
2,4,6,40,39,0.3005,0.9205,0.89345,10.295777513227511,63.84,39.53,0,40,1708340726.566601,0.75125,0.98825
3,7,7,39,40,0.1703333333333333,0.7663333333333333,0.6973333333333334,11.220110846560846,19.72,40.0,0,40,1708341356.542789,0.24333333333333332,1.0
3,4,6,40,48,0.224,0.8243333333333333,0.824,12.176110846560846,39.28,48.07,0,48,1708341972.5429244,0.5599999999999999,1.0
3,9,5,48,40,0.1346666666666666,0.715,0.6598518518518518,13.09107380952381,19.52,40.33,0,40,1708342717.9456637,0.14962962962962956,1.0
2,9,4,40,32,0.1725,0.732,0.6766666666666666,14.010240476190477,18.04,32.0,0,32,1708343333.212952,0.19166666666666665,1.0
2,7,7,32,24,0.1255,0.794,0.6717142857142857,14.928169047619049,18.77,24.0,0,24,1708343948.4294095,0.1792857142857143,1.0
3,4,5,24,50,0.2473333333333333,0.7883333333333334,0.7859407333333333,15.890002380952382,106.57,50.27,0,56,1708344563.6729558,0.6183333333333332,0.897679
3,6,5,50,48,0.162,0.746,0.708,16.81700238095238,23.11,48.07,0,48,1708345289.174554,0.27,1.0
2,8,8,48,40,0.191,0.7865,0.6955,17.73918988095238,18.53,40.13,0,40,1708345904.4244668,0.23875,1.0
1,6,8,40,40,0.356,0.787,0.8373333333333334,18.69689821428572,24.88,40.33,0,40,1708346519.6495514,0.5933333333333334,1.0
2,6,4,40,40,0.237,0.7615000000000001,0.758,19.63639821428572,21.09,40.87,0,40,1708347134.8819144,0.395,1.0
2,4,9,40,31,0.1845,1.0415,0.7794372,20.58252321428571,35.99,31.73,0,32,1708347750.5832837,0.46125,0.991562
2,7,5,31,32,0.1915,0.7795,0.7094285714285714,21.50988035714285,24.96,32.13,0,32,1708348371.9758155,0.2735714285714286,1.0
1,4,5,32,20,0.399,0.841,0.70095,22.509630357142854,250.19,20.13,0,40,1708348987.218124,0.9975,0.50325
2,7,4,20,40,0.1659999999999999,0.7035,0.6948571428571428,23.43334464285714,17.87,40.33,0,40,1708349602.462392,0.23714285714285702,1.0
1,7,6,40,40,0.358,0.786,0.8045714285714286,24.3844875,19.84,40.0,0,40,1708350217.6949,0.5114285714285715,1.0
3,8,4,40,40,0.1346666666666666,0.7203333333333332,0.6673333333333333,25.30132083333333,17.89,40.13,0,40,1708350832.9105573,0.16833333333333325,1.0
2,5,6,40,40,0.19,0.787,0.752,26.23932083333333,25.19,40.2,0,40,1708351448.1367476,0.38,1.0
3,8,4,40,32,0.1163333333333333,0.7520000000000001,0.6581666666666666,27.1538625,18.26,32.0,0,32,1708352063.347833,0.1454166666666666,1.0
3,6,7,32,32,0.136,0.7919999999999999,0.6906666666666667,28.076529166666667,18.36,32.0,0,32,1708352678.5927036,0.22666666666666668,1.0
